VBRCSMC-N1,1,URRACCA,13,MERMACA,13018,60
VBRCSPC-N1,1,BALBO2A,13,PACHO  ,17148,40
VBRCSPH-N1,1,BALBO2A,14,PACUR  ,16516,40
VBRCSVV-N1,1,BALBO2A,10,VVETK2A,12377,60
VBRDDE1-N2,1,BALBO2A,12,ESTLP2A,6497,40
DOVEC-R,1,GLOCS4A,58,24DDI2A,25852,60
ACNAL-I,1,EALCDIA,45,ALBROCG,29437,40
BLVTO-R,1,VLOVE2A,47,ESTASIC,20651,40
VBRDDPP-N2,1,BALBO2A,12,PAPUE  ,6287,40
VBRDD99-N2,1,BALBO2A,11,SSMTM3A,5576,50
VCACSPC-N1,1,BOULECA,21,PACHO  ,29843,40
VCACSPH-N1,1,PENAB1A,21,PACUR  ,28539,40
VCADDE1-N2,1,PENAB1A,17,ESTLP2A,9353,40
DROCE-I,1,DORAD1A,35,DORTM2A,16916,60
DROCE-R,1,DORTM2A,2,DORAD1A,334,60
ACNAL-R,1,ALBROCG,53,MOCON1A,33317,60
BOMAL-DI,1,AMANE1A,60,ALBROCC,30049,40
BOMAL-DR,1,DORTM2A,65,AMANE2A,31289,40
VBRDPPD-N2,1,BALBO2A,41,PADON  ,18369,40
DOEFE-VI,1,NVAES2A,5,PARED2A,7680,60
DOEFE-VR,1,NTOPA2A,4,NVAES1A,3853,60
DOEMP-VI,1,PARED1A,4,PENAB1A,3878,60
DOEMP-VR,1,PENAB2A,4,PARED2A,3647,60
DOEPA-VI,1,PPAPC2A,4,PARED2A,13715,60
DOEPA-VR,1,NTOPA2A,3,PPAPC1A,9559,60
DOETO-VI,1,PARED1A,4,ESTASIC,5434,60
DOETO-VR,1,ESTASIC,4,PARED2A,4907,60
DOE24,1,PARED2A,19,PARED2A,5464,60
DROFI-I,1,DORAD1A,38,DORTM2A,30541,60
DROFI-R,1,DORTM2A,2,DORAD1A,334,60
D2SMA-I,1,PARED1A,27,ESTAMAD,29051,40
D2SMA-R,1,ESTAMAD,26,PARED2A,29572,60
VAMCNPC-N1,1,JUDCB1A,34,PACHO  ,33262,40
ALKCO,1,ALLSB1A,17,ALLSB1A,19299,60
BONAL-I,1,AMANE1A,43,ALBROCG,29266,40
BONAL-R,1,ALBROCG,49,AMANE2A,31566,40
VBRJAC1-N2,1,BALBO2A,18,CONCE1A,7696,40
VBRJADB-N2,1,BALBO2A,21,CAL1C1A,9311,40
VBRJAEB-N2,1,BALBO2A,2,ETBVE1A,747,60
VBRJAEL-N2,1,BALBO2A,2,ETBVE2A,48,40
VBRJASP-N2,1,BALBO2A,10,AVE3CSA,3936,40
VBRJTER-N2,1,BALBO2A,21,ESTAPAA,8050,40
VCAMDER-P2,1,PENAB1A,14,ESTAPAA,6275,40
VCAMTP2-P2,1,PENAB1A,13,ESTAPEA,4616,40
D2SMA-TR,1,ESTAMAD,32,PARED2A,30827,60
VCAPAPD-P2,1,PENAB1A,18,PADON  ,6676,40
VBIJADO-P2,1,CCRUCEA,45,ESTA24A,21037,60
VBIJADR-N2,1,BALBO1A,42,PARED1A,20395,60
CASMA-I,1,CPRAD1A,23,ESTAMAB,21358,40
CASMA-R,1,ESTAMAB,22,CPRAD2A,21273,30
VBIJTPG-N2,1,JJVAL2A,29,PAGMN1A,15555,50
VBRJTP2-N2,1,BALBO2A,27,ESTAPEA,10682,40
VBRJTSI-N2,1,BALBO2A,26,YSAJO1A,10478,40
VBRVECV-N1,1,BALBO2A,19,CRUVHVA,6843,60
VCAPDC1-P2,1,PENAB1A,20,CONCE1A,8975,40
VCAPDDB-P2,1,PENAB1A,16,CAL1C1A,8481,40
VBIJADX-N2,1,BALBO1A,43,ESTADAA,21246,60
VBIJAEB-P2,1,BALBO1A,3,ETBVE1A,2162,60
VBIJAEL-P2,1,BALBO1A,2,ETBVE2A,1463,40
CHFAL-R,1,ALBROCH,38,CHAGR2A,35160,60
VBIJTP2-P2,1,BALBO1A,28,ESTAPEA,12173,40
VBIJTP6-N2,1,BALBO1A,29,PREAL2A,13185,50
VB1CBPO-N2,1,DONBN2A,64,PAOJO  ,30819,40
EARBO-R,1,NATCB3A,36,AMANE2A,13242,40
EARCH-I,1,DONBN2A,70,ESTAN1E,31312,60
VBIJAES-P2,1,BALBO1A,49,ESTASIA,22125,40
VBIJAJV-N2,1,BALBO1A,21,JJVAL1A,10881,60
VBIJAJ2-N2,1,BALBO1A,15,ESTAD2A,9824,40
VBIJTSI-N2,1,BALBO1A,27,YSAJO1A,11969,40
VBIVECV-N1,1,BALBO1A,18,CRUVHVA,6129,60
VBNARST-N2,1,DONBN1A,42,ESTASLA,19020,40
VB1CCPB-N2,1,DONBN2A,47,PACAB  ,23030,40
VCACSAL-N1,1,PENAB1A,22,ALBROCA,30007,40
VCAPDPP-P2,1,PENAB1A,23,PAPUE  ,12186,40
VCEDDPP-N2,1,CVITM2A,2,PAPUE  ,196,40
ECTCG,1,ESTICAA,12,ESTICAA,3926,40
EVTPP,1,ESTVARA,13,ESTVARA,6027,40
VBIJAMX-N2,1,BALBO1A,34,MAINT1A,15935,40
VBIJANI-N2,1,BALBO1A,47,NVAES1A,24777,60
VBNARV1-N2,1,DONBN1A,32,VALLE1A,15676,30
DOMAL-I,1,ESTA24A,59,ALBROCB,32728,40
DOMAL-R,1,ALBROCB,66,24DDI2A,34820,60
VCHCBCR-N2,1,CHAGR2A,43,CABTK2A,24580,60
BCSMA-I,1,VERDB2A,35,ESTAMAB,26534,40
BCVAL-I,1,POLVE1A,76,ALBROCA,29829,40
VBNCBAE-N2,1,DONBN1A,42,ESTAN2A,18556,60
VBNCBLA-N2,1,DONBN1A,40,ANDESLA,18728,30
DOMCS-I,1,ESTA24A,49,VVETK1A,26427,60
VBIJAP4-N2,1,BALBO1A,56,PPAPC1A,30483,40
VBIJASP-N2,1,BALBO1A,11,AVE3CSA,5427,40
VBNCBPO-N2,1,DONBN1A,40,PAOJO  ,18165,40
VBNCBSB-P2,1,DONBN1A,39,ESTSI2A,19058,60
VBNCCAZ-N2,1,DONBN1A,21,EALCDIA,9684,30
DOMCS-R,1,VVETK2A,54,24DDI2A,26719,60
DOMMA-I,1,ESTA24A,57,ESTAMAO,29339,40
